
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Oklahoma City Thunder,64-18,34-8,30-10,23-7,41-11,8-2,7-3,8-2,12-4,17-2,12-5,42-14,22-4,5-6,43-9,6-0,14-1,9-4,9-6,8-4,14-1,4-2
2,San Antonio Spurs,62-20,32-8,30-12,26-4,36-16,9-1,8-2,9-1,10-8,13-5,13-3,38-16,24-4,8-5,43-8,5-0,8-6,11-3,8-7,11-0,14-2,5-2
3,Detroit Pistons,60-22,32-9,28-13,39-13,21-9,15-3,12-4,12-6,8-2,7-3,6-4,40-13,20-9,10-6,34-8,3-2,13-2,9-4,10-4,9-2,11-7,5-1
4,Boston Celtics,56-26,30-11,26-15,36-16,20-10,10-6,12-6,14-4,3-7,10-0,7-3,35-19,21-7,5-7,38-10,3-3,8-6,9-3,10-6,9-2,11-5,6-1
5,Denver Nuggets,54-28,28-13,26-15,18-12,36-16,7-3,5-5,6-4,11-5,11-6,14-5,35-20,19-8,9-11,28-9,3-2,11-3,9-5,10-6,4-7,11-5,6-0
6,Los Angeles Lakers,53-29,28-13,25-16,20-10,33-19,7-3,6-4,7-3,10-7,10-7,13-5,33-21,20-8,8-3,28-21,4-2,11-2,5-7,9-7,6-6,15-2,3-3
7,New York Knicks,53-29,30-10,23-19,35-17,18-12,14-3,10-7,11-7,7-3,4-6,7-3,35-20,18-9,9-4,32-19,2-3,11-3,10-4,7-8,8-4,10-6,5-1
8,Cleveland Cavaliers,52-30,27-14,25-16,33-19,19-11,8-8,11-5,14-6,5-5,7-3,7-3,34-21,18-9,2-5,27-17,3-3,9-6,7-7,10-5,8-3,10-5,5-1
9,Houston Rockets,52-30,30-11,22-19,23-7,29-23,7-3,8-2,8-2,8-10,11-7,10-6,33-20,19-10,5-9,27-11,2-2,11-2,7-6,10-7,7-5,9-7,6-1
10,Minnesota Timberwolves,49-33,26-15,23-18,18-12,31-21,6-4,6-4,6-4,9-7,9-9,13-5,34-22,15-11,6-4,28-18,2-3,10-5,9-5,10-6,6-4,9-6,3-4
11,Atlanta Hawks,46-36,24-17,22-19,27-25,19-11,11-8,7-10,9-7,5-5,8-2,6-4,26-30,20-6,7-8,33-19,3-3,10-5,3-11,8-8,6-4,13-2,3-3
12,Toronto Raptors,46-36,24-17,22-19,33-19,13-17,5-12,14-3,14-4,5-5,4-6,4-6,32-23,14-13,7-4,33-23,2-4,12-3,6-8,9-6,6-4,7-8,4-3
13,Orlando Magic,45-37,26-16,19-21,26-26,19-11,8-9,9-9,9-8,7-3,7-3,5-5,28-25,17-12,11-5,19-19,2-4,10-4,7-7,6-7,6-5,9-8,5-2
